shared once time: 0.23232245445251465s,token_num:3799, throughput: 0.4688523468671584 GB/s
e2e shared once time: 0.021843433380126953s,token_num:3805, throughput: 4.9944968861559955 GB/s
e2e shared once time: 0.018301010131835938s,token_num:3736, throughput: 5.853151887701511 GB/s
e2e shared once time: 0.019066333770751953s,token_num:4172, throughput: 6.273863944598424 GB/s
e2e shared once time: 0.02036905288696289s,token_num:3346, throughput: 4.709915209725027 GB/s
e2e shared once time: 0.025480270385742188s,token_num:4636, throughput: 5.216718268200913 GB/s
e2e shared once time: 0.03060150146484375s,token_num:4146, throughput: 3.8845842952041885 GB/s
e2e shared once time: 0.02617669105529785s,token_num:3742, throughput: 4.098708418621369 GB/s
e2e shared once time: 0.28682565689086914s,token_num:4014, throughput: 0.40125213778831853 GB/s
e2e shared once time: 0.02003002166748047s,token_num:4179, throughput: 5.98203486691844 GB/s
e2e shared once time: 0.015115737915039062s,token_num:3339, throughput: 6.333518650435836 GB/s
e2e shared once time: 0.0154571533203125s,token_num:3116, throughput: 5.779974497800592 GB/s
e2e shared once time: 0.027289152145385742s,token_num:3767, throughput: 3.957888593408085 GB/s
e2e shared once time: 0.01600360870361328s,token_num:3867, throughput: 6.928101408463381 GB/s
e2e shared once time: 0.01746535301208496s,token_num:4059, throughput: 6.663458100129575 GB/s
e2e shared once time: 0.016996145248413086s,token_num:3061, throughput: 5.163817484331898 GB/s
e2e shared once time: 0.01850152015686035s,token_num:4112, throughput: 6.372409564209946 GB/s
e2e shared once time: 0.016295194625854492s,token_num:3020, throughput: 5.313802135423061 GB/s
e2e shared once time: 0.02754497528076172s,token_num:4358, throughput: 4.536311059508223 GB/s
e2e shared once time: 0.004703998565673828s,token_num:3595, throughput: 21.91238763382463 GB/s
e2e shared once time: 0.004187822341918945s,token_num:3582, throughput: 24.524226582386337 GB/s
e2e shared once time: 0.004873514175415039s,token_num:3565, throughput: 20.97371143714691 GB/s
e2e shared once time: 0.004511356353759766s,token_num:3761, throughput: 23.903097770170593 GB/s
e2e shared once time: 0.005555629730224609s,token_num:3337, throughput: 17.221893582913744 GB/s
e2e shared once time: 0.0060405731201171875s,token_num:3533, throughput: 16.76962996485254 GB/s
e2e shared once time: 0.006230592727661133s,token_num:3527, throughput: 16.23058165093085 GB/s
e2e shared once time: 0.0070056915283203125s,token_num:3873, throughput: 15.850920005697795 GB/s
e2e shared once time: 0.007146596908569336s,token_num:3901, throughput: 15.650731870141383 GB/s
e2e shared once time: 0.025635242462158203s,token_num:3858, throughput: 4.3150196906968254 GB/s
e2e shared once time: 0.0037386417388916016s,token_num:4737, throughput: 36.32850470456323 GB/s
e2e shared once time: 0.004471302032470703s,token_num:3580, throughput: 22.956570425031458 GB/s
e2e shared once time: 0.0062885284423828125s,token_num:3143, throughput: 14.330235893129512 GB/s
e2e shared once time: 0.006173133850097656s,token_num:4762, throughput: 22.117787709696277 GB/s
e2e shared once time: 0.0048792362213134766s,token_num:4260, throughput: 25.03316389283557 GB/s
e2e shared once time: 0.0039005279541015625s,token_num:3341, throughput: 24.559022041944257 GB/s
e2e shared once time: 0.006010532379150391s,token_num:3557, throughput: 16.96793188466545 GB/s
e2e shared once time: 0.0037915706634521484s,token_num:5236, throughput: 39.59482898396328 GB/s
e2e shared once time: 0.004942178726196289s,token_num:4496, throughput: 26.083498623129337 GB/s
e2e shared once time: 0.03208422660827637s,token_num:4686, throughput: 4.187633806492989 GB/s
e2e shared once time: 0.005024433135986328s,token_num:3354, throughput: 19.139649269334345 GB/s
e2e shared once time: 0.004411458969116211s,token_num:3339, throughput: 21.70162040953532 GB/s
e2e shared once time: 0.0043146610260009766s,token_num:3539, throughput: 23.517538779644802 GB/s
e2e shared once time: 0.007092714309692383s,token_num:2965, throughput: 11.98588809418535 GB/s
e2e shared once time: 0.0059814453125s,token_num:3275, throughput: 15.698680685714285 GB/s
e2e shared once time: 0.006249666213989258s,token_num:3391, throughput: 15.557111159371608 GB/s
e2e shared once time: 0.005629301071166992s,token_num:3556, throughput: 18.1119522141429 GB/s
e2e shared once time: 0.006635904312133789s,token_num:4340, throughput: 18.752000352456434 GB/s
e2e shared once time: 0.0054759979248046875s,token_num:4006, throughput: 20.975178146017413 GB/s
e2e shared once time: 0.027839183807373047s,token_num:3529, throughput: 3.634570923491016 GB/s
e2e shared once time: 0.0056896209716796875s,token_num:3333, throughput: 16.796158562349312 GB/s
e2e shared once time: 0.004042863845825195s,token_num:3848, throughput: 27.29002514243227 GB/s
e2e shared once time: 0.0049974918365478516s,token_num:3269, throughput: 18.75516180227432 GB/s
e2e shared once time: 0.005545377731323242s,token_num:4811, throughput: 24.87494967580584 GB/s
e2e shared once time: 0.00526118278503418s,token_num:4092, throughput: 22.300275203085878 GB/s
e2e shared once time: 0.003678560256958008s,token_num:3930, throughput: 30.631810308629206 GB/s
e2e shared once time: 0.017502546310424805s,token_num:3713, throughput: 6.082494176095463 GB/s
e2e shared once time: 0.004090070724487305s,token_num:4537, throughput: 31.805040245680907 GB/s
e2e shared once time: 0.006368875503540039s,token_num:3842, throughput: 17.296275290476398 GB/s
e2e shared once time: 0.028203725814819336s,token_num:3408, throughput: 3.4645839575088044 GB/s
e2e shared once time: 0.004197359085083008s,token_num:3316, throughput: 22.651469667651693 GB/s
e2e shared once time: 0.004683732986450195s,token_num:4082, throughput: 24.988423622479818 GB/s
e2e shared once time: 0.004189491271972656s,token_num:4782, throughput: 32.727005523857045 GB/s
e2e shared once time: 0.006588459014892578s,token_num:3300, throughput: 14.361112330838822 GB/s
e2e shared once time: 0.004318714141845703s,token_num:3315, throughput: 22.008328608519378 GB/s
e2e shared once time: 0.004947185516357422s,token_num:3970, throughput: 23.008605524017348 GB/s
e2e shared once time: 0.005357265472412109s,token_num:4535, throughput: 24.271248208548286 GB/s
e2e shared once time: 0.005423545837402344s,token_num:3768, throughput: 19.919827219851594 GB/s
e2e shared once time: 0.005232572555541992s,token_num:4119, throughput: 22.57015392455789 GB/s
e2e shared once time: 0.04068303108215332s,token_num:4003, throughput: 2.821176617057637 GB/s
e2e shared once time: 0.00464177131652832s,token_num:4046, throughput: 24.991948997341822 GB/s
e2e shared once time: 0.004893779754638672s,token_num:3774, throughput: 22.11136042594329 GB/s
e2e shared once time: 0.003750324249267578s,token_num:4066, throughput: 31.085406021297395 GB/s
e2e shared once time: 0.004800558090209961s,token_num:3656, throughput: 21.835967825027467 GB/s
e2e shared once time: 0.004449367523193359s,token_num:3594, throughput: 23.1599586824066 GB/s
e2e shared once time: 0.004976034164428711s,token_num:3802, throughput: 21.90719364012151 GB/s
e2e shared once time: 0.0045778751373291016s,token_num:4110, throughput: 25.741619521049945 GB/s
e2e shared once time: 0.005075216293334961s,token_num:3108, throughput: 17.55837994865899 GB/s
e2e shared once time: 0.004799842834472656s,token_num:3491, throughput: 20.853589471955495 GB/s
e2e shared once time: 0.02176690101623535s,token_num:3284, throughput: 4.325781053066279 GB/s
e2e shared once time: 0.004380941390991211s,token_num:3750, throughput: 24.542670262857143 GB/s
e2e shared once time: 0.0045011043548583984s,token_num:3319, throughput: 21.142004383276234 GB/s
e2e shared once time: 0.004693746566772461s,token_num:3521, throughput: 21.508215359275056 GB/s
e2e shared once time: 0.005067586898803711s,token_num:3424, throughput: 19.37271722428191 GB/s
e2e shared once time: 0.00393986701965332s,token_num:3872, throughput: 28.178104348752555 GB/s
e2e shared once time: 0.014345407485961914s,token_num:4418, throughput: 8.830205494264224 GB/s
e2e shared once time: 0.005045413970947266s,token_num:3625, throughput: 20.600093589641812 GB/s
e2e shared once time: 0.003782987594604492s,token_num:4550, throughput: 34.485336453671145 GB/s
e2e shared once time: 0.0041773319244384766s,token_num:3494, throughput: 23.981807003154614 GB/s
e2e shared once time: 0.02346634864807129s,token_num:3597, throughput: 4.394939559907909 GB/s
e2e shared once time: 0.005545616149902344s,token_num:4446, throughput: 22.986753600363198 GB/s
e2e shared once time: 0.009485006332397461s,token_num:3335, throughput: 10.081292162493526 GB/s
e2e shared once time: 0.004791259765625s,token_num:3136, throughput: 18.76654500035669 GB/s
e2e shared once time: 0.0043718814849853516s,token_num:3370, throughput: 22.101385943750884 GB/s
e2e shared once time: 0.0059812068939208984s,token_num:4540, throughput: 21.76331337615179 GB/s
e2e shared once time: 0.00609278678894043s,token_num:3284, throughput: 15.45415115639961 GB/s
e2e shared once time: 0.004615068435668945s,token_num:4014, throughput: 24.93774677543173 GB/s
e2e shared once time: 0.004663228988647461s,token_num:3631, throughput: 22.325309834333453 GB/s
e2e shared once time: 0.004419803619384766s,token_num:3648, throughput: 23.665181760849283 GB/s
